Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths,cases
22-01-2020,India,,21,78,0,0,0,0
23-01-2020,India,,21,78,0,0,0,0
24-01-2020,India,,21,78,0,0,0,0
25-01-2020,India,,21,78,0,0,0,0
26-01-2020,India,,21,78,0,0,0,0
27-01-2020,India,,21,78,0,0,0,0
28-01-2020,India,,21,78,0,0,0,0
29-01-2020,India,,21,78,0,0,0,0
30-01-2020,India,,21,78,1,0,0,1
31-01-2020,India,,21,78,1,0,0,0
01-02-2020,India,,21,78,1,0,0,0
02-02-2020,India,,21,78,2,0,0,1
03-02-2020,India,,21,78,3,0,0,1
04-02-2020,India,,21,78,3,0,0,0
05-02-2020,India,,21,78,3,0,0,0
06-02-2020,India,,21,78,3,0,0,0
07-02-2020,India,,21,78,3,0,0,0
08-02-2020,India,,21,78,3,0,0,0
09-02-2020,India,,21,78,3,0,0,0
10-02-2020,India,,21,78,3,0,0,0
11-02-2020,India,,21,78,3,0,0,0
12-02-2020,India,,21,78,3,0,0,0
13-02-2020,India,,21,78,3,0,0,0
14-02-2020,India,,21,78,3,0,0,0
15-02-2020,India,,21,78,3,0,0,0
16-02-2020,India,,21,78,3,3,0,0
17-02-2020,India,,21,78,3,3,0,0
18-02-2020,India,,21,78,3,3,0,0
19-02-2020,India,,21,78,3,3,0,0
20-02-2020,India,,21,78,3,3,0,0
21-02-2020,India,,21,78,3,3,0,0
22-02-2020,India,,21,78,3,3,0,0
23-02-2020,India,,21,78,3,3,0,0
24-02-2020,India,,21,78,3,3,0,0
25-02-2020,India,,21,78,3,3,0,0
26-02-2020,India,,21,78,3,3,0,0
27-02-2020,India,,21,78,3,3,0,0
28-02-2020,India,,21,78,3,3,0,0
29-02-2020,India,,21,78,3,3,0,0
01-03-2020,India,,21,78,3,3,0,0
02-03-2020,India,,21,78,5,3,0,2
03-03-2020,India,,21,78,5,3,0,0
04-03-2020,India,,21,78,28,3,0,23
05-03-2020,India,,21,78,30,3,0,2
06-03-2020,India,,21,78,31,3,0,1
07-03-2020,India,,21,78,34,3,0,3
08-03-2020,India,,21,78,39,3,0,5
09-03-2020,India,,21,78,43,3,0,4
10-03-2020,India,,21,78,56,4,0,13
11-03-2020,India,,21,78,62,4,1,6
12-03-2020,India,,21,78,73,4,1,11
13-03-2020,India,,21,78,82,4,2,9
14-03-2020,India,,21,78,102,4,2,20
15-03-2020,India,,21,78,113,13,2,11
16-03-2020,India,,21,78,119,13,2,6
17-03-2020,India,,21,78,142,14,3,23
18-03-2020,India,,21,78,156,14,3,14
19-03-2020,India,,21,78,194,15,4,38
20-03-2020,India,,21,78,244,20,5,50
21-03-2020,India,,21,78,330,23,4,86
22-03-2020,India,,21,78,396,27,7,66
23-03-2020,India,,21,78,499,27,10,103
24-03-2020,India,,21,78,536,40,10,37
25-03-2020,India,,21,78,657,43,12,121
26-03-2020,India,,21,78,727,45,20,70
27-03-2020,India,,21,78,887,73,20,160
28-03-2020,India,,21,78,987,84,24,100
29-03-2020,India,,21,78,1024,95,27,37
30-03-2020,India,,21,78,1251,102,32,227
31-03-2020,India,,21,78,1397,123,35,146
01-04-2020,India,,21,78,1998,148,58,601
02-04-2020,India,,21,78,2543,191,72,545
03-04-2020,India,,21,78,2567,192,72,24
04-04-2020,India,,21,78,3082,229,86,515
05-04-2020,India,,21,78,3588,229,99,506
06-04-2020,India,,21,78,4778,375,136,1190
07-04-2020,India,,21,78,5311,421,150,533
08-04-2020,India,,21,78,5916,506,178,605
09-04-2020,India,,21,78,6725,620,226,809
10-04-2020,India,,21,78,7598,774,246,873
11-04-2020,India,,21,78,8446,969,288,848
12-04-2020,India,,21,78,9205,1080,331,759
13-04-2020,India,,21,78,10453,1181,358,1248
14-04-2020,India,,21,78,11487,1359,393,1034
