Date,Time,State.UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,cases
12-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,1
13-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
14-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
15-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
16-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
17-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
18-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
19-03-2020,6:00 PM,Andhra Pradesh,2,0,0,0,2,1
20-03-2020,6:00 PM,Andhra Pradesh,3,0,0,0,3,1
21-03-2020,6:00 PM,Andhra Pradesh,3,0,0,0,3,0
22-03-2020,6:00 PM,Andhra Pradesh,5,0,0,0,5,2
23-03-2020,6:00 PM,Andhra Pradesh,7,0,0,0,7,2
24-03-2020,6:00 PM,Andhra Pradesh,8,0,0,0,8,1
25-03-2020,6:00 PM,Andhra Pradesh,9,0,1,0,9,1
26-03-2020,6:00 PM,Andhra Pradesh,11,0,1,0,11,2
27-03-2020,10:00 AM,Andhra Pradesh,12,0,1,0,12,1
28-03-2020,6:00 PM,Andhra Pradesh,14,0,1,0,14,2
29-03-2020,7:30 PM,Andhra Pradesh,-,-,1,0,19,5
30-03-2020,9:30 PM,Andhra Pradesh,-,-,1,0,23,4
31-03-2020,8:30 PM,Andhra Pradesh,-,-,1,0,40,17
01-04-2020,7:30 PM,Andhra Pradesh,-,-,1,0,83,43
 02-04-2020,6:00 PM,Andhra Pradesh,-,-,1,1,86,3
03-04-2020,6:00 PM,Andhra Pradesh,-,-,1,1,132,46
04-04-2020,6:00 PM,Andhra Pradesh,-,-,1,1,161,29
05-04-2020,6:00 PM,Andhra Pradesh,-,-,1,1,190,29
06-04-2020,6:00 PM,Andhra Pradesh,-,-,1,3,226,36
